Alérgenos,Cantidad Neta:,Cantidad neta del alimento (Formato texto libre):,Código EAN Producto:,Declaración Nutricional:,Descripción del rango de raciones:,Descripción producto,Descripción:,Dirección Proveedor:,Instrucciones Uso:,Lista Ingredientes:,Marca:,Menciones Obligatorias:,Modo de empleo:,Nombre Alimento:,Nombre Proveedor:,Pais Origen:,Peso Neto Escurrido:,Propiedades Saludables:,Variedad:,child_1_cat,child_2_cat,child_3_cat,child_4_cat,child_5_cat,price,price_norm,product_id,root_cat
[],835 g,,08480000800169,,," ACEITUNA MANZANILLA CON HUESO, HACENDADO, TARRO 835 g ESCURRIDO 500 g",Aceituna verde Manzanilla con hueso,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Consumir dentro de los 7 días después de la apertura. Una vez abierto , conservar cerrado en el frigorífico con el máximo de líquido posible.","['Aceitunas aderezadas', ' sal', ' acidulante: ácido cítrico', ' antioxidante: ácido ascórbico.']",HACENDADO,,,Aceituna verde manzanilla con hueso,"La Española Alimentaria Alcoyana, S.A.",,500 g,,,ACEITUNAS,MANZANILLA,,,,"1,47","1 KILO: 2,94 Euros",80016,APERITIVOS
,835 g,,08480000800169,,," ACEITUNA MANZANILLA CON HUESO, HACENDADO, TARRO 835 g ESCURRIDO 500 g",Aceitunas con Hueso 835 g,"Ctra. Utrera-Los Palacios, Km. 3.5, 41710 Utrera, Sevilla.",,"Aceituna manzanilla, agua, sal, acidulantes: ácido cítrico y ácido láctico; antioxidante: ácido ascórbico. Categoría Selecta.",Hacendado,Producto pasteurizado. Contiene 10 raciones de 50 g de producto escurrido.,,,"Manzanilla Olive, SCA",,500 g,,,ACEITUNAS,MANZANILLA,,,,"1,47","1 KILO: 2,94 Euros",80016,APERITIVOS
"['pepinillo', 'sulfitos']",370 ML,1 X 180 g,08480000331328,,," ACEITUNA MANZANILLA CON PEPINILLO, HACENDADO, TARRO 340 g ESCURRIDO 180 g",Aceitunas Manzanilla con pepinillos sabor anchoa Hacendado 180 g tarro V370 ml,"Calle mecánica,7. 06200 Almendralejo (Badajoz) España",Categoría selecta. Producto pasteurizado. Calibre/lote/consumir preferentemente antes del: vease envase. Puede contener huesos o fragmentos de hueso,"['Agua', ' aceituna verde', ' pepinillo 47%*(contiene sulfitos)', ' sal', ' vinagre', ' potenciadores del sabor: glutamato monosódico', ' 5´ribonucleótidos de disodio; acidulante: ácido cítrico', ' anitoxidante: ácido ascórbico. *%referenciado sobre peso neto escurrido']",HACENDADO,"Agua, aceituna verde, pepinillo 47%*(contiene sulfitos), sal, vinagre, potenciadores del sabor: glutamato monosódico, 5´ribonucleótidos de disodio; acidulante: ácido cítrico, anitoxidante: ácido ascórbico. *%referenciado sobre peso neto escurrido",,Aceitunas verdes deshuesadas rellenas de pepinillo,Olives&Pickles S.L,España,180 g,,,ACEITUNAS,MANZANILLA,,,,"1,99","1 KILO: 11,06 Euros",33132,APERITIVOS
[],835 g,,08480000330536,,," ACEITUNA MANZANILLA SIN HUESO, HACENDADO, TARRO 835 g ESCURRIDO 400 g",Aceituna Verde Manzanilla sin hueso,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas aderezadas, sal, acidulante: ácido cítrico, antioxidante: ácido ascórbico.","['Aceitunas aderezadas', ' sal', ' acidulante: ácido cítrico', ' antioxidante: ácido ascórbico.']",HACENDADO,,,Aceituna verde manzanilla sin hueso,"La Española Alimentaria Alcoyana, S.A.",,400 g,,,ACEITUNAS,MANZANILLA,,,,"1,60","1 KILO: 4,00 Euros",33053,APERITIVOS
[],525 g,75x3,08480000331144,,," ACEITUNA MANZANILLA SIN HUESO, HACENDADO, BOLSA PACK 3 x 175 g u - 525 g ESCURRIDO 225 g",Aceitunas verdes manzanilla sin  hueso,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas manzanilla verdes aderezadas sin hueso , sal, acidulante: ácido cítrico, antioxidante: ácido ascórbico","['Aceitunas manzanilla verdes aderezadas sin hueso ', ' sal', ' acidulante: ácido cítrico', ' antioxidante: ácido ascórbico']",HACENDADO,,,Aceitunas verdes manzanilla sin hueso,"La Española Alimentaria Alcoyana, S.A.",,225 g,,,ACEITUNAS,MANZANILLA,,,,"1,30","1 KILO: 5,78 Euros",33114,APERITIVOS
[],446 ML,1 X 250 g,08480000331113,,," ACEITUNA NEGRA ARAGON, HACENDADO, TARRO 250 g",Aceituna negra natural Negra de Aragón Hacendado tarro 450 ml,"Ctra Madrid, nº 69 km 407  03007 Alicante",Categoría selecta. Producto pasteurizado. Calibre/lote/consumir preferentemente antes del: vease envase.,"['Aceitunas empeltre', ' sal y acidulante: ácido láctico']",HACENDADO,"Aceitunas empeltre, sal y acidulante: ácido láctico",,Aceitunas negra natural Negra de Aragón,Aceitunas Cazorla S.L.,España,250 g,,,ACEITUNAS,NEGRAS,,,,"1,70","1 KILO: 6,80 Euros",33111,APERITIVOS
[],370 ML,1 X 150 g,08480000331090,,," ACEITUNA NEGRA CACEREÑA CON HUESO, HACENDADO, LATA 350 g ESCURRIDO 185 g",Aceitunas cacereñas negras con hueso Hacendado lata 12 oz,"Pol. Ind. 2ª fase, parcela 33. Montehermoso. Cáceres 10810",Categoría selecta. Producto esterilizado. Calibre/lote/consumir preferentemente antes del: vease envase,"['Aceitunas negras enteras', ' agua', ' sal', ' estabilizante:gluconato ferroso']",HACENDADO,"Aceitunas negras enteras, agua, sal, estabilizante:gluconato ferroso",,Aceitunas cacereñas negras con hueso,Acenorca S.L.,España,185 g,,,ACEITUNAS,NEGRAS,,,,"0,75","1 KILO: 4,05 Euros",33109,APERITIVOS
[],125 ML,3 X 50 g,08480000331120,,," ACEITUNA NEGRA CACEREÑA RODAJAS, HACENDADO, LATA 3 u x 120 g - 360 g ESCURRIDO 150 g",Aceitunas cacereñas negras rodajas Hacendado lata minibar especial pack 3 uds,"Ctra Madrid, nº 69 km 407  03007 Alicante",Categoría selecta. Producto esterilizado. Calibre/lote/consumir preferentemente antes del: vease envase. Excepcionalmente puede contener algun resto de hueso.,"['Agua', ' aceitunas negras rodajas', ' sal', ' estabilizador:gluconato ferroso']",HACENDADO,"Agua, aceitunas negras rodajas, sal, estabilizador:gluconato ferroso",,Aceitunas cacereñas negras rodajas,Aceitunas Cazorla S.L.,España,50 g,,,ACEITUNAS,NEGRAS,,,,"1,50","1 KILO: 10,00 Euros",33112,APERITIVOS
[],370 ML,1 X 150 g,08480000331106,,," ACEITUNA NEGRA CACEREÑA SIN HUESO, HACENDADO, LATA 350 g ESCURRIDO 150 g",Aceitunas cacereñas negras sin hueso Hacendado lata 12 oz,"Pol. Ind. 2ª fase, parcela 33. Montehermoso. Cáceres 10810",Categoría selecta. Producto esterilizado. Calibre/lote/consumir preferentemente antes del: vease envase. Excepcionalmente puede contener algun resto de hueso.,"['Aceitunas negras deshuesadas', ' agua', ' sal', ' estabilizante:gluconato ferroso']",HACENDADO,"Aceitunas negras deshuesadas, agua, sal, estabilizante:gluconato ferroso",,Aceitunas cacereñas negras sin hueso,Acenorca S.L.,España,150 g,,,ACEITUNAS,NEGRAS,,,,"0,85","1 KILO: 5,67 Euros",33110,APERITIVOS
['anchoa'],1460 g,,08480000330109,,," ACEITUNA RELLENA ANCHOA SELECCION, HACENDADO, BOTE 1460 g ESCURRIDO 600 g",Aceitunas rellenas de anchoa Selección,"C/Arzobispo Doménech, 7  03804-Alcoy(Alicante)","Aceitunas, sal, relleno pasta de anchoa 6% (anchoa  y estabilizante E-401),potenciadores del sabor:E-621 y E-635, acidulante:ácido cítrico, antioxidante: ácido ascórbico, estabilizador:cloruro de calcio. Contiene pescado. Producto pasteurizado","['Aceitunas', ' sal', ' relleno pasta de anchoa 6% (anchoa  y estabilizante E-401)', 'potenciadores del sabor:E-621 y E-635', ' acidulante:ácido cítrico', ' antioxidante: ácido ascórbico', ' estabilizador:cloruro de calcio. Contiene pescado. Producto pasteurizado']",HACENDADO,,,Aceitunas rellenas de anchoa Selección,"La Española Alimentaria Alcoyana, S.A.",,600 g,,,ACEITUNAS,RELLENAS,,,,"3,10","1 KILO: 5,17 Euros",33010,APERITIVOS
