Alérgenos,Cantidad Neta:,Cantidad neta del alimento (Formato texto libre):,Código EAN Producto:,Declaración Alérgeno:,Declaración Nutricional:,Descripción de la variante de producción:,Descripción del rango de raciones:,Descripción producto,Descripción:,Dirección Proveedor:,Fecha efectiva de la variante de producción:,Instrucciones Uso:,Lista Ingredientes:,Marca:,Menciones Obligatorias:,Modo de empleo:,Nombre Alimento:,Nombre Proveedor:,Número Raciones:,Pais Origen:,Peso Neto:,Porcentaje Alcohol:,Variedad:,child_1_cat,child_2_cat,child_3_cat,child_4_cat,child_5_cat,price,product_id,root_cat
[],1 LT,,08480000046406,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, BOTELLA 1 l",Aceite de Oliva Intenso (1º) 1L,Ctra. La Carolina Km 29. 23220 Vilches (Jaén),,"El aceite a bajas temperaturas puede presentar enturbiamientos, que en nada afectan a sus características.",['ACEITE DE OLIVA VIRGEN Y ACEITE DE OLIVA REFINADO'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y aceites obtenidos directamente de aceitunas.,,,Aceites del Sur- Coosur S.A.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4640,ALIMENTACION
[],1 LT,,08480000046406,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, BOTELLA 1 l",Aceite de Oliva Hacendado Intenso 1L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Conservar al abrigo del calor y de la luz,['ACEITE DE OLIVA VIRGEN Y ACEITE DE OLIVA REFINADO'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas,Cocinar y sazonar,,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4640,ALIMENTACION
[],1 LT,,08480000046406,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, BOTELLA 1 l",Aceite De Oliva Intenso Hacendado 1L PET,"C/VALENCIA, 5; TABERNES BLANQUES 46016 - VALENCIA",,"Conservar en lugar fresco, seco y alejado de la luz.",['ACEITE DE OLIVA VIRGEN Y ACEITE DE OLIVA REFINADO'],Hacendado,"Procedente principalmente de las variedades Picual, Hojiblanca y Arbequino.",,,MERCADONA,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4640,ALIMENTACION
,1 LT,,08480000046406,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, BOTELLA 1 l",ACEITE OLIVA INTENSO HACENDADO PET 1 LITRO,"Pol. Ind. San Cibrao, C/6, Nº 18 32901 San Cibrao das Viñas Ourense",,,"Aceite de oliva refinado, aceite de oliva virgen extra",HACENDADO,,,,Aceites Abril S.L.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,unknown,4640,ALIMENTACION
[],5 LT,,08480000046413,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, GARRAFA 5 l",Aceite de Oliva Intenso (1º) 5L,Ctra. La Carolina Km 29. 23220 Vilches (Jaén),,"El aceite a bajas temperaturas puede presentar enturbiamientos, que en nada afectan a sus características.",['Aceite De Oliva Virgen y Aceite De Oliva Refinado'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y aceites obtenidos directamente de aceitunas.,,Aceite de Oliva - contiene exclusivamente aceites de oliva refinados y aceites de oliva vírgenes.,Aceites del Sur- Coosur S.A.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 2,59 Euros",4641,ALIMENTACION
[],5 LT,,08480000046413,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, GARRAFA 5 l",Aceite de Oliva Hacendado Intenso 5L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Conservar al abrigo del calor y de la luz,['Aceite De Oliva Virgen y Aceite De Oliva Refinado'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas,Cocinar y sazonar,,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 2,59 Euros",4641,ALIMENTACION
,5 LT,,08480000046413,,,,," ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, GARRAFA 5 l",ACEITE OLIVA INTENSO HACENDADO PET 5 LITRO,"Pol. Ind. San Cibrao, C/6, Nº 18 32901 San Cibrao das Viñas Ourense",,,"Aceite de oliva refinado, aceite de oliva virgen extra",HACENDADO,,,,Aceites Abril S.L.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 2,59 Euros",4641,ALIMENTACION
[],5 LT,,08480000042415,,,,," ACEITE OLIVA SABOR SUAVE (TAPON ROJO) ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 l","Aceite de Oliva Suave (0,4º) 5L",Ctra. La Carolina Km 29. 23220 Vilches (Jaén),,"El aceite a bajas temperaturas puede presentar enturbiamientos, que en nada afectan a sus características.",['Aceite De Oliva Refinado y Aceite De Oliva Virgen'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y aceites obtenidos directamente de aceitunas.,,Aceite de Oliva - contiene exclusivamente aceites de oliva refinados y aceites de oliva vírgenes.,Aceites del Sur- Coosur S.A.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 2,59 Euros",4241,ALIMENTACION
[],5 LT,,08480000042415,,,,," ACEITE OLIVA SABOR SUAVE (TAPON ROJO) ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 l",Aceite de Oliva Hacendado Suave 5L,"Ctra. Rinconada - Brenes, km 11,700, 41310 Brenes (Sevilla). www.sovenagroup.com",,Conservar al abrigo del calor y de la luz,['Aceite De Oliva Refinado y Aceite De Oliva Virgen'],Hacendado,Aceite que contiene exclusivamente aceites de oliva que se hayan sometido a un tratamiento de refinado y de aceites obtenidos directamente de aceitunas,Cocinar y sazonar,,SOVENA ESPAÑA S.A.U.,,,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 2,59 Euros",4241,ALIMENTACION
,5 LT,,08480000042415,,,,," ACEITE OLIVA SABOR SUAVE (TAPON ROJO) ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 l",ACEITE OLIVA SUAVE HACENDADO PET 5 LITROS,"Pol. Ind. San Cibrao, C/6, Nº 18 32901 San Cibrao das Viñas Ourense",,,"Aceite de oliva refinado, aceite de oliva virgen extra",HACENDADO,,,,Aceites Abril S.L.,,España,,,,ALIÑOS Y CONDIMENTOS,ACEITES,none,none,none,"1 LITRO: 2,59 Euros",4241,ALIMENTACION
